Date,Open,High,Low,Close,Volume,AdjustedClose
20231122,5175.000,5300.000,5175.000,5275.000,103585500,5275.000
20231123,5325.000,5400.000,5300.000,5350.000,174572400,5350.000
20231124,5400.000,5450.000,5375.000,5400.000,104413400,5400.000
20231127,5425.000,5450.000,5350.000,5350.000,76019100,5350.000
20231128,5325.000,5425.000,5325.000,5350.000,147993400,5350.000
20231129,5350.000,5375.000,5300.000,5300.000,106197800,5300.000
20231130,5375.000,5375.000,5275.000,5275.000,224426400,5275.000
20231201,5275.000,5375.000,5275.000,5350.000,99499500,5350.000
20231204,5450.000,5575.000,5450.000,5500.000,235656700,5500.000
20231205,5425.000,5500.000,5425.000,5450.000,114689900,5450.000
20231206,5425.000,5450.000,5400.000,5425.000,119716700,5425.000
20231207,5400.000,5475.000,5400.000,5475.000,102126600,5475.000
20231208,5425.000,5450.000,5375.000,5375.000,130542600,5375.000
20231211,5325.000,5375.000,5300.000,5300.000,124468600,5300.000
20231212,5375.000,5400.000,5325.000,5325.000,134501600,5325.000
20231213,5300.000,5350.000,5275.000,5300.000,98881600,5300.000
20231214,5450.000,5550.000,5425.000,5550.000,270760600,5550.000
20231215,5575.000,5600.000,5550.000,5550.000,252448800,5550.000
20231218,5575.000,5575.000,5500.000,5500.000,102780900,5500.000
20231219,5450.000,5550.000,5450.000,5550.000,158893700,5550.000
20231220,5700.000,5700.000,5550.000,5550.000,138470900,5550.000
20231221,5550.000,5600.000,5525.000,5575.000,99049600,5575.000
20231222,5650.000,5700.000,5600.000,5675.000,109411300,5675.000
20231227,5700.000,5725.000,5625.000,5625.000,131368000,5625.000
20231228,5700.000,5750.000,5675.000,5725.000,121434600,5725.000
20231229,5750.000,5750.000,5675.000,5725.000,93126000,5725.000
20240102,5650.000,5675.000,5625.000,5675.000,91143100,5675.000
20240103,5625.000,5650.000,5600.000,5600.000,83659700,5600.000
20240104,5600.000,5700.000,5575.000,5700.000,118467900,5700.000
20240105,5725.000,5850.000,5700.000,5750.000,134929600,5750.000
20240108,5750.000,5800.000,5625.000,5625.000,152015000,5625.000
20240109,5625.000,5700.000,5625.000,5700.000,105666200,5700.000
20240110,5625.000,5700.000,5625.000,5700.000,82626400,5700.000
20240111,5750.000,5800.000,5700.000,5750.000,132206400,5750.000
20240112,5800.000,5850.000,5775.000,5850.000,109715700,5850.000
20240115,5850.000,5900.000,5775.000,5825.000,115284200,5825.000
20240116,5825.000,5875.000,5775.000,5825.000,97074300,5825.000
20240117,5825.000,5825.000,5750.000,5775.000,107941600,5775.000
20240118,5800.000,5800.000,5700.000,5750.000,87259100,5750.000
20240119,5750.000,5800.000,5700.000,5800.000,75370700,5800.000
20240122,5775.000,5800.000,5700.000,5775.000,97545600,5775.000
20240123,5700.000,5750.000,5650.000,5700.000,122999700,5700.000
20240124,5675.000,5700.000,5575.000,5650.000,104225000,5650.000
20240125,5575.000,5650.000,5525.000,5525.000,120478800,5525.000
20240126,5450.000,5475.000,5400.000,5425.000,185244400,5425.000
20240129,5400.000,5575.000,5400.000,5575.000,145629600,5575.000
20240130,5525.000,5650.000,5475.000,5625.000,150287800,5625.000
20240131,5725.000,5775.000,5675.000,5700.000,245117200,5700.000
20240201,5775.000,5800.000,5725.000,5750.000,156634200,5750.000
20240202,5800.000,5850.000,5750.000,5850.000,177209700,5850.000
20240205,5800.000,5825.000,5750.000,5775.000,113760000,5775.000
20240206,5900.000,5900.000,5800.000,5825.000,126704300,5825.000
20240207,5850.000,5900.000,5825.000,5850.000,147571500,5850.000
20240212,5875.000,6025.000,5850.000,6025.000,200856200,6025.000
20240213,6050.000,6050.000,5950.000,6000.000,145852200,6000.000
20240215,6275.000,6275.000,6100.000,6125.000,308685100,6125.000
20240216,6150.000,6200.000,6125.000,6150.000,130814400,6150.000
20240219,6125.000,6175.000,6075.000,6100.000,111382900,6100.000
20240220,6175.000,6300.000,6175.000,6300.000,160872600,6300.000
20240221,6325.000,6375.000,6225.000,6300.000,169293100,6300.000
20240222,6250.000,6300.000,6225.000,6250.000,100256000,6250.000
20240223,6125.000,6175.000,6050.000,6125.000,148643000,6125.000
20240226,6100.000,6200.000,6075.000,6175.000,110509000,6175.000
20240227,6125.000,6200.000,6125.000,6125.000,99187500,6125.000
20240228,6100.000,6225.000,6100.000,6225.000,118745300,6225.000
20240229,6150.000,6200.000,6125.000,6125.000,173845800,6125.000
20240301,6175.000,6175.000,6075.000,6125.000,76286400,6125.000
20240304,6125.000,6125.000,6050.000,6050.000,70354900,6050.000
20240305,6100.000,6175.000,6075.000,6125.000,115084600,6125.000
20240306,6100.000,6200.000,6100.000,6200.000,84108800,6200.000
20240307,6200.000,6275.000,6200.000,6225.000,117724700,6225.000
20240308,6275.000,6400.000,6250.000,6350.000,163060000,6350.000
20240313,6350.000,6450.000,6350.000,6400.000,195173100,6400.000
20240314,6175.000,6200.000,6050.000,6150.000,271254000,6150.000
20240315,6000.000,6075.000,5950.000,5975.000,305995800,5975.000
20240318,6000.000,6100.000,5975.000,6000.000,110564700,6000.000
20240319,6000.000,6050.000,5975.000,6000.000,114338600,6000.000
20240320,6000.000,6100.000,6000.000,6100.000,120885400,6100.000
20240321,6175.000,6200.000,6100.000,6100.000,136020000,6100.000
20240322,6050.000,6125.000,6050.000,6125.000,74936500,6125.000
20240325,6150.000,6250.000,6125.000,6250.000,115729600,6250.000
20240326,6200.000,6300.000,6200.000,6300.000,120748400,6300.000
20240327,6300.000,6325.000,6225.000,6250.000,73308900,6250.000
